task,crop,dr,model,published,new,delta
classification,Onion,Isomap,Decision tree,0.7622,0.7638273223376324,0.0016
classification,Carrot,Isomap,Random forest,0.6983,0.6858677028721777,-0.0124
classification,Lettuce,Isomap,Random forest,0.8594,0.8777968469911851,0.0184
classification,Onion,Isomap,Random forest,0.785,0.8020894531454446,0.0171
classification,Carrot,Isomap,k-NN,0.7182,0.7213892063516998,0.0032
classification,Lettuce,Isomap,k-NN,0.8482,0.8642910367974743,0.0161
classification,Onion,Isomap,k-NN,0.7966,0.8037523895349828,0.0072
classification,Carrot,Isomap,MLP,0.6874,0.707117319130798,0.0197
classification,Lettuce,Isomap,MLP,0.8573,0.8693919524331941,0.0121
classification,Onion,Isomap,MLP,0.807,0.7950397994691605,-0.012
classification,Carrot,Isomap,LSTM,0.6803,0.7286370831829698,0.0483
classification,Lettuce,Isomap,LSTM,0.8774,0.8578566752097945,-0.0195
classification,Onion,Isomap,LSTM,0.7779,0.7980054351742429,0.0201
classification,Carrot,Isomap,RNN GRU,0.7033,0.7135811166698387,0.0103
classification,Lettuce,Isomap,RNN GRU,0.8686,0.8655953119470732,-0.003
classification,Onion,Isomap,RNN GRU,0.8004,0.8076106121942159,0.0072
classification,Carrot,KernelPCA,Decision tree,0.7047,0.6861074269484672,-0.0186
classification,Lettuce,KernelPCA,Decision tree,0.8481,0.8556577086124886,0.0076
classification,Onion,KernelPCA,Decision tree,0.7861,0.7795635050702515,-0.0065
classification,Carrot,KernelPCA,Random forest,0.6828,0.6912978042587297,0.0085
classification,Lettuce,KernelPCA,Random forest,0.8754,0.874085366048073,-0.0013
classification,Onion,KernelPCA,Random forest,0.8099,0.7966728655797894,-0.0132
classification,Carrot,KernelPCA,k-NN,0.7276,0.7142276443730899,-0.0134
classification,Lettuce,KernelPCA,k-NN,0.8754,0.8625248627306583,-0.0129
classification,Onion,KernelPCA,k-NN,0.794,0.7993535473471713,0.0054
classification,Carrot,KernelPCA,MLP,0.6817,0.7271244344843183,0.0454
classification,Lettuce,KernelPCA,MLP,0.8698,0.8742013922580412,0.0044
classification,Onion,KernelPCA,MLP,0.7955,0.7917891010868793,-0.0037
classification,Carrot,KernelPCA,LSTM,0.6455,0.740543960052148,0.095
classification,Lettuce,KernelPCA,LSTM,0.8789,0.8655279193064851,-0.0134
classification,Onion,KernelPCA,LSTM,0.7937,0.8008558990575209,0.0072
classification,Carrot,KernelPCA,RNN GRU,0.7042,0.7375808513705493,0.0334
classification,Lettuce,KernelPCA,RNN GRU,0.8635,0.866418991628473,0.0029
classification,Onion,KernelPCA,RNN GRU,0.8054,0.8020729240525508,-0.0033
classification,Carrot,BOTCAST,Decision tree,0.7565,0.7336284650765593,-0.0229
classification,Lettuce,BOTCAST,Decision tree,0.8666,0.8801071930497294,0.0135
classification,Onion,BOTCAST,Decision tree,0.744,0.7606578248922117,0.0167
classification,Carrot,BOTCAST,Random forest,0.6795,0.7393169109975634,0.0598
classification,Lettuce,BOTCAST,Random forest,0.8633,0.8801071930497294,0.0168
classification,Onion,BOTCAST,Random forest,0.8042,0.791199238423645,-0.013
classification,Carrot,BOTCAST,k-NN,0.6859,0.7156451289742194,0.0297
classification,Lettuce,BOTCAST,k-NN,0.8791,0.8629307134881883,-0.0162
classification,Onion,BOTCAST,k-NN,0.7989,0.7777701031116917,-0.0211
classification,Carrot,BOTCAST,MLP,0.7099,0.7283326922256277,0.0184
classification,Lettuce,BOTCAST,MLP,0.883,0.8801071930497294,-0.0029
classification,Onion,BOTCAST,MLP,0.7796,0.752474946214182,-0.0271
classification,Carrot,BOTCAST,LSTM,0.7373,0.7274462967557727,-0.0099
classification,Lettuce,BOTCAST,LSTM,0.8888,0.8759180963376968,-0.0129
classification,Onion,BOTCAST,LSTM,0.727,0.7930286272077418,0.066
classification,Carrot,BOTCAST,RNN GRU,0.7426,0.7352240461100773,-0.0074
classification,Lettuce,BOTCAST,RNN GRU,0.8831,0.8801071930497294,-0.003
classification,Onion,BOTCAST,RNN GRU,0.7696,0.7997824883674026,0.0302
regression,Carrot,PCA,Decision tree,0.1173,0.2014522388727776,0.0842
regression,Lettuce,PCA,Decision tree,0.3324,0.6887579208281472,0.3564
