split,task,dr,mean_seconds,median_seconds,mean_speedup_vs_no_reduction,median_speedup_vs_no_reduction,paired_runs
random,classification,BOTCAST,39.62358797483224,38.21074935400975,1.0819238366790254,0.8635028005687274,30
random,classification,Isomap,33.42460468664067,34.60441921057645,1.2178940116776997,1.0691095449012185,30
random,classification,KernelPCA,36.69647190960241,36.27299206945463,1.118031679055134,0.997778821574596,30
random,classification,MDS,33.43421813654519,33.66625297552673,1.2243449792431156,1.0248237783656806,30
random,classification,No Reduction,38.66853249454289,37.07038663997082,1.0,1.0,30
random,classification,PCA,44.59673274398277,43.42716109394678,0.869041556325729,0.8804011388551155,30
random,regression,BOTCAST,23.637834187831807,20.279539930983447,0.9226975744142403,0.9776941780940098,30
random,regression,Isomap,22.405110388672135,22.354737262940034,0.8935829843033168,0.8910117040294658,30
random,regression,KernelPCA,19.611648826334083,19.78201628100942,1.0098241762194786,1.0161304395897581,30
random,regression,MDS,22.578587266457422,21.462589463510085,0.9049472386679337,0.9406057841795652,30
random,regression,No Reduction,19.423214621793402,19.13870009011589,1.0,1.0,30
random,regression,PCA,21.61072466293117,19.442615619074786,0.9489727153389562,0.9911378941168406,30
