model,Carrot_mean,Carrot_ci95,Carrot_best,Lettuce_mean,Lettuce_ci95,Lettuce_best,Onion_mean,Onion_ci95,Onion_best
Decision tree,0.6703,0.0446,False,0.8633,0.0237,False,0.7667,0.0299,False
Random forest,0.6794,0.0268,False,0.8798,0.0185,False,0.8009,0.011,False
k-NN,0.6872,0.0161,False,0.8846,0.0144,False,0.8018,0.0169,False
MLP,0.667,0.0445,False,0.8884,0.0176,False,0.8036,0.0126,False
LSTM,0.6732,0.0373,False,0.8873,0.0156,False,0.802,0.0212,False
RNN GRU,0.6695,0.0314,False,0.873,0.0195,False,0.8061,0.0162,True
Mamba SSM,0.678,0.027,False,0.8851,0.0208,False,0.8007,0.0185,False
TabPFN,0.7007,0.0329,True,0.8974,0.0135,True,0.8051,0.017,False
