model,Carrot_mean,Carrot_ci95,Carrot_best,Lettuce_mean,Lettuce_ci95,Lettuce_best,Onion_mean,Onion_ci95,Onion_best
Decision tree,0.2495,0.0459,False,0.6804,0.0327,False,0.3804,0.0665,False
Random forest,0.2677,0.0601,False,0.7279,0.0256,True,0.4712,0.0449,False
k-NN,0.2389,0.0656,False,0.7077,0.0322,False,0.469,0.0494,False
MLP,0.2565,0.0472,False,0.7087,0.0235,False,0.4824,0.0345,False
LSTM,0.2271,0.0584,False,0.6994,0.0252,False,0.4879,0.0304,False
RNN GRU,0.2137,0.0513,False,0.706,0.0232,False,0.4928,0.0254,True
Mamba SSM,0.2435,0.0524,False,0.6988,0.0226,False,0.4737,0.0367,False
TabPFN,0.2725,0.0536,True,0.7062,0.0251,False,0.4905,0.0324,False
