model,Carrot_mean,Carrot_ci95,Carrot_best,Lettuce_mean,Lettuce_ci95,Lettuce_best,Onion_mean,Onion_ci95,Onion_best
Decision tree,0.6825,0.0372,False,0.8817,0.024,False,0.7793,0.0149,False
Random forest,0.6958,0.0185,False,0.8909,0.0168,False,0.8033,0.0125,False
k-NN,0.6869,0.0216,False,0.8809,0.0214,False,0.8033,0.0187,True
MLP,0.7094,0.0254,False,0.8991,0.0138,True,0.7989,0.0214,False
LSTM,0.7015,0.0409,False,0.8922,0.0172,False,0.7957,0.0235,False
RNN GRU,0.7111,0.0229,False,0.8909,0.0145,False,0.7995,0.0206,False
Mamba SSM,0.6987,0.023,False,0.8897,0.0131,False,0.7873,0.0151,False
TabPFN,0.7296,0.015,True,0.8981,0.0132,False,0.7924,0.0208,False
