model,Carrot_mean,Carrot_ci95,Carrot_best,Lettuce_mean,Lettuce_ci95,Lettuce_best,Onion_mean,Onion_ci95,Onion_best
Decision tree,0.6784,0.0427,False,0.8592,0.0228,False,0.7783,0.017,False
Random forest,0.6687,0.028,False,0.8874,0.0177,False,0.7907,0.0147,False
k-NN,0.6855,0.012,False,0.8847,0.0175,False,0.7865,0.0146,False
MLP,0.6771,0.0208,False,0.8951,0.0142,False,0.7939,0.0155,False
LSTM,0.6841,0.0295,False,0.8892,0.0178,False,0.7938,0.0168,False
RNN GRU,0.6719,0.0378,False,0.8887,0.0145,False,0.7965,0.0183,True
Mamba SSM,0.6536,0.0383,False,0.8908,0.0107,False,0.792,0.0169,False
TabPFN,0.7196,0.0142,True,0.8991,0.0138,True,0.7954,0.0174,False
