model,Carrot_mean,Carrot_ci95,Carrot_best,Lettuce_mean,Lettuce_ci95,Lettuce_best,Onion_mean,Onion_ci95,Onion_best
Decision tree,0.2535,0.0593,False,0.688,0.0311,False,0.4341,0.0478,False
Random forest,0.281,0.0551,True,0.7239,0.0257,True,0.4815,0.0494,False
k-NN,0.2414,0.0627,False,0.7146,0.0343,False,0.4691,0.0463,False
MLP,0.242,0.0514,False,0.7077,0.0293,False,0.4787,0.0317,False
LSTM,0.242,0.0453,False,0.7048,0.0272,False,0.4879,0.0309,True
RNN GRU,0.2017,0.0428,False,0.7059,0.0288,False,0.4845,0.039,False
Mamba SSM,0.2556,0.0489,False,0.7084,0.03,False,0.4828,0.021,False
TabPFN,0.2734,0.0497,False,0.7066,0.0258,False,0.4811,0.0294,False
