model,Carrot_mean,Carrot_ci95,Carrot_best,Lettuce_mean,Lettuce_ci95,Lettuce_best,Onion_mean,Onion_ci95,Onion_best
Decision tree,0.71,0.0286,False,0.8869,0.0131,False,0.7724,0.0217,False
Random forest,0.6954,0.0162,False,0.8925,0.0182,False,0.7847,0.0119,False
k-NN,0.6866,0.016,False,0.883,0.0183,False,0.7993,0.0162,True
MLP,0.7019,0.0261,False,0.897,0.0153,False,0.7944,0.0211,False
LSTM,0.684,0.0666,False,0.8858,0.0137,False,0.7916,0.0183,False
RNN GRU,0.6928,0.0392,False,0.898,0.0141,False,0.7899,0.0179,False
Mamba SSM,0.6918,0.0457,False,0.8953,0.0129,False,0.7863,0.021,False
TabPFN,0.7306,0.0147,True,0.8991,0.0138,True,0.7932,0.0159,False
