model,Carrot_mean,Carrot_ci95,Carrot_best,Lettuce_mean,Lettuce_ci95,Lettuce_best,Onion_mean,Onion_ci95,Onion_best
Decision tree,0.2716,0.0533,False,0.4649,0.0472,False,0.3013,0.0463,False
Random forest,0.2598,0.0486,False,0.5582,0.0325,False,0.4748,0.0355,False
k-NN,0.2223,0.0671,False,0.387,0.0665,False,0.3957,0.0679,False
MLP,0.2641,0.055,False,0.5355,0.0321,False,0.4408,0.0422,False
LSTM,0.2076,0.0705,False,0.6789,0.0235,False,0.4838,0.0174,True
RNN GRU,0.2187,0.057,False,0.6883,0.0254,True,0.4786,0.0244,False
Mamba SSM,0.2214,0.0538,False,0.6844,0.0322,False,0.4756,0.0253,False
TabPFN,0.2823,0.0491,True,0.5594,0.0317,False,0.4715,0.0316,False
