model,Carrot_mean,Carrot_ci95,Carrot_best,Lettuce_mean,Lettuce_ci95,Lettuce_best,Onion_mean,Onion_ci95,Onion_best
Decision tree,0.1982,0.0759,False,0.6562,0.0439,False,0.3603,0.0517,False
Random forest,0.2696,0.0599,False,0.7204,0.028,True,0.4887,0.0466,False
k-NN,0.2531,0.068,False,0.715,0.0285,False,0.4643,0.048,False
MLP,0.2298,0.0442,False,0.7163,0.0236,False,0.4625,0.036,False
LSTM,0.2352,0.0544,False,0.7001,0.0251,False,0.4957,0.0294,True
RNN GRU,0.2304,0.048,False,0.7012,0.0227,False,0.4957,0.0293,False
Mamba SSM,0.2397,0.0542,False,0.6896,0.0303,False,0.4673,0.0386,False
TabPFN,0.2752,0.0551,True,0.71,0.0244,False,0.4884,0.0331,False
