model,Carrot_mean,Carrot_ci95,Carrot_best,Lettuce_mean,Lettuce_ci95,Lettuce_best,Onion_mean,Onion_ci95,Onion_best
Decision tree,0.6828,0.0399,False,0.8737,0.0126,False,0.7812,0.0198,False
Random forest,0.6859,0.0149,False,0.8868,0.0188,False,0.7921,0.0187,False
k-NN,0.6844,0.0231,False,0.8871,0.016,False,0.7983,0.0159,False
MLP,0.7106,0.0378,False,0.8991,0.0138,False,0.8001,0.0186,False
LSTM,0.7172,0.0303,False,0.8951,0.0136,False,0.8014,0.0224,True
RNN GRU,0.7167,0.0145,False,0.8927,0.0146,False,0.7972,0.0207,False
Mamba SSM,0.7158,0.0172,False,0.8959,0.0133,False,0.7936,0.0222,False
TabPFN,0.7294,0.0139,True,0.9001,0.0147,True,0.7926,0.0184,False
