model,Carrot_mean,Carrot_ci95,Carrot_best,Lettuce_mean,Lettuce_ci95,Lettuce_best,Onion_mean,Onion_ci95,Onion_best
Decision tree,0.1625,0.0498,False,0.6506,0.0438,False,0.2663,0.0778,False
Random forest,0.249,0.0588,False,0.722,0.031,True,0.4904,0.045,True
k-NN,0.2515,0.0574,False,0.7128,0.0351,False,0.4676,0.0468,False
MLP,0.2415,0.0691,False,0.7009,0.0295,False,0.4712,0.0296,False
LSTM,0.15,0.0618,False,0.6964,0.028,False,0.474,0.0306,False
RNN GRU,0.2101,0.061,False,0.697,0.0279,False,0.4747,0.0301,False
Mamba SSM,0.1898,0.0625,False,0.6879,0.0326,False,0.4754,0.0424,False
TabPFN,0.2679,0.0536,True,0.7153,0.026,False,0.4874,0.0385,False
