model,Carrot_mean,Carrot_ci95,Carrot_best,Lettuce_mean,Lettuce_ci95,Lettuce_best,Onion_mean,Onion_ci95,Onion_best
Decision tree,0.7201,0.0162,False,0.8991,0.0138,True,0.751,0.0214,False
Random forest,0.735,0.0166,True,0.8991,0.0138,False,0.7931,0.0172,False
k-NN,0.6939,0.0215,False,0.8823,0.0224,False,0.7805,0.0151,False
MLP,0.6995,0.0585,False,0.8991,0.0138,False,0.7736,0.0306,False
LSTM,0.6964,0.0227,False,0.8935,0.0131,False,0.7912,0.0185,False
RNN GRU,0.6378,0.1407,False,0.8975,0.0137,False,0.7878,0.0198,False
Mamba SSM,0.6314,0.1399,False,0.8962,0.0137,False,0.7941,0.0152,True
TabPFN,0.735,0.0166,False,0.8991,0.0138,False,0.7856,0.0184,False
